,Actual Price,Predicted Price,new_host_acceptance_rate,host_is_superhost,room_type,bedrooms,beds,number_of_reviews,availability_365,neighbourhood_cleansed,neighbourhood_group_cleansed,id
645,118,158,100,f,Private room,0,1,0,362,Outram,Central Region,48019222
646,86,59,0,f,Private room,1,1,2,361,Kallang,Central Region,39062013
647,100,178,0,f,Entire home/apt,2,2,0,297,Tampines,East Region,13875517
648,244,84,0,f,Private room,1,1,1,365,Bukit Timah,Central Region,37713213
649,33,86,100,f,Private room,1,1,1,364,Pasir Ris,East Region,8681954
650,50,89,100,f,Shared room,1,1,0,328,Rochor,Central Region,46754912
651,250,126,0,f,Hotel room,8,4,0,364,Kallang,Central Region,24224508
652,152,107,0,f,Private room,1,1,0,90,Novena,Central Region,16225193
653,157,183,100,f,Entire home/apt,2,3,148,263,Punggol,North-East Region,14245740
654,179,150,93,t,Entire home/apt,0,1,3,0,Novena,Central Region,39641124
655,80,166,4,t,Entire home/apt,1,1,3,336,Kallang,Central Region,7720994
656,300,75,0,f,Shared room,1,1,0,0,Toa Payoh,Central Region,5704432
657,85,65,46,f,Private room,1,1,6,74,Geylang,Central Region,12299369
658,186,158,100,f,Private room,0,2,0,365,Outram,Central Region,44420536
659,45,85,45,t,Private room,1,1,203,170,Tampines,East Region,8180346
660,280,87,0,f,Shared room,1,4,0,0,Singapore River,Central Region,24786824
661,370,250,100,f,Entire home/apt,0,1,1,306,Orchard,Central Region,45537334
662,180,191,41,f,Entire home/apt,1,1,0,363,Bukit Merah,Central Region,51511807
663,150,65,65,f,Private room,1,1,1,364,Ang Mo Kio,North-East Region,19774868
664,467,114,0,f,Private room,1,1,0,0,Southern Islands,Central Region,23654281
665,265,222,41,f,Entire home/apt,1,1,0,364,River Valley,Central Region,45778518
666,55,67,50,t,Private room,1,1,17,303,Jurong East,West Region,23457264
667,163,193,0,f,Entire home/apt,0,2,0,0,River Valley,Central Region,28824676
668,120,157,89,t,Entire home/apt,1,0,3,0,Bukit Merah,Central Region,47912530
669,1414,555,41,f,Entire home/apt,3,3,0,364,Orchard,Central Region,53714240
670,688,483,64,f,Entire home/apt,3,3,4,173,Newton,Central Region,38889119
671,742,187,47,f,Entire home/apt,1,1,0,179,Downtown Core,Central Region,53665903
672,305,139,97,f,Entire home/apt,0,1,174,362,River Valley,Central Region,8277151
673,180,254,31,f,Entire home/apt,2,2,0,364,Downtown Core,Central Region,41162396
674,130,179,100,f,Entire home/apt,2,3,6,96,Geylang,Central Region,42362577
675,67,295,50,f,Private room,0,2,0,88,Bukit Merah,Central Region,40149431
676,90,63,20,t,Private room,1,1,31,0,Kallang,Central Region,31634142
677,151,187,0,f,Entire home/apt,1,1,0,314,Downtown Core,Central Region,8234618
678,88,99,84,f,Entire home/apt,1,1,27,90,Geylang,Central Region,4613432
679,164,142,96,t,Entire home/apt,1,1,57,0,Kallang,Central Region,21854678
680,179,161,100,t,Entire home/apt,0,1,0,0,Outram,Central Region,37812421
681,284,373,100,t,Entire home/apt,2,2,36,120,Tanglin,Central Region,1233249
682,60,103,80,t,Private room,1,0,0,364,Downtown Core,Central Region,53100793
683,40,65,100,f,Private room,1,1,1,84,Ang Mo Kio,North-East Region,38056679
684,240,168,100,f,Hotel room,0,2,8,0,Downtown Core,Central Region,17929053
685,22,44,13,f,Hotel room,1,10,1,363,Kallang,Central Region,29319567
686,36,97,65,f,Hotel room,1,6,17,0,Outram,Central Region,8626676
