id,new_host_acceptance_rate,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,bedrooms,beds,number_of_reviews,availability_365,price
23370324.0,65.0,f,River Valley,Central Region,1.29992,103.83253,Entire home/apt,1.0,2.0,2.0,363.0,214.0
23380147.0,86.0,f,River Valley,Central Region,1.2986,103.8368,Hotel room,0.0,1.0,10.0,144.0,126.0
23380199.0,86.0,f,Orchard,Central Region,1.29882,103.83807,Hotel room,0.0,1.0,3.0,181.0,130.0
23380807.0,0.0,f,Novena,Central Region,1.31416,103.8399,Private room,1.0,1.0,0.0,365.0,57.0
23380866.0,86.0,f,River Valley,Central Region,1.29682,103.83844,Hotel room,0.0,1.0,0.0,54.0,141.0
23403996.0,89.0,t,Orchard,Central Region,1.29971,103.83795,Entire home/apt,2.0,2.0,8.0,0.0,364.0
23438702.0,65.0,f,Bedok,East Region,1.32098,103.91452,Private room,1.0,1.0,19.0,85.0,75.0
23446208.0,93.0,t,Newton,Central Region,1.305,103.83499,Entire home/apt,2.0,3.0,120.0,79.0,366.0
23457264.0,50.0,t,Jurong East,West Region,1.32167,103.74987,Private room,1.0,1.0,17.0,303.0,55.0
23496793.0,2.0,f,Kallang,Central Region,1.31247,103.86071,Entire home/apt,1.0,2.0,0.0,356.0,204.0
23506068.0,89.0,t,Downtown Core,Central Region,1.27633,103.84515,Entire home/apt,1.0,1.0,7.0,0.0,144.0
23509109.0,0.0,f,Sengkang,North-East Region,1.38769,103.89308,Private room,1.0,4.0,0.0,180.0,65.0
23598682.0,65.0,f,Tampines,East Region,1.35549,103.95915,Private room,2.0,2.0,28.0,88.0,500.0
23604711.0,100.0,f,Bishan,Central Region,1.35791,103.82841,Entire home/apt,2.0,2.0,1.0,270.0,194.0
23613551.0,0.0,f,Toa Payoh,Central Region,1.3387,103.85155,Private room,1.0,1.0,0.0,30.0,40.0
23636649.0,0.0,f,Ang Mo Kio,North-East Region,1.37432,103.83718,Private room,1.0,1.0,0.0,0.0,55.0
23654269.0,0.0,f,Southern Islands,Central Region,1.25248,103.82304,Private room,1.0,1.0,1.0,0.0,397.0
23654281.0,0.0,f,Southern Islands,Central Region,1.25324,103.82331,Private room,1.0,1.0,0.0,0.0,467.0
23654288.0,0.0,f,Southern Islands,Central Region,1.25088,103.82302,Private room,1.0,1.0,0.0,0.0,527.0
23654295.0,0.0,f,Southern Islands,Central Region,1.25271,103.82107,Entire home/apt,1.0,1.0,0.0,0.0,837.0
23658989.0,30.0,f,Queenstown,Central Region,1.30376,103.78445,Private room,2.0,2.0,1.0,364.0,420.0
23672746.0,100.0,t,Tanglin,Central Region,1.31558974,103.8280808,Entire home/apt,2.0,3.0,9.0,121.0,319.0
