,Actual Price,Predicted Price,new_host_acceptance_rate,host_is_superhost,room_type,bedrooms,beds,number_of_reviews,availability_365,neighbourhood_cleansed,neighbourhood_group_cleansed,id,latitude,longitude
288,120.0,136.0,89.0,t,Entire home/apt,1.0,0.0,3.0,0.0,Bukit Merah,Central Region,47912530.0,1.28639,103.8337
289,988.0,371.0,0.0,f,Hotel room,1.0,4.0,0.0,315.0,Rochor,Central Region,25953564.0,1.30264,103.86022
290,59.0,147.0,77.0,f,Private room,0.0,1.0,10.0,343.0,Bukit Merah,Central Region,330089.0,1.28652,103.81225
291,229.0,445.0,0.0,f,Entire home/apt,2.0,2.0,0.0,330.0,Toa Payoh,Central Region,31722950.0,1.3307,103.86753
292,567.0,89.0,0.0,f,Private room,1.0,1.0,0.0,324.0,Bukit Merah,Central Region,45804462.0,1.2849,103.83387
293,153.0,196.0,89.0,t,Entire home/apt,2.0,2.0,28.0,0.0,Clementi,West Region,19351097.0,1.3172,103.75876
294,232.0,188.0,96.0,f,Hotel room,1.0,1.0,7.0,342.0,Singapore River,Central Region,21420790.0,1.28684,103.8472
295,30.0,73.0,91.0,f,Private room,1.0,1.0,0.0,365.0,Kallang,Central Region,40113996.0,1.32744,103.86243
296,205.0,179.0,100.0,f,Entire home/apt,1.0,1.0,21.0,61.0,Outram,Central Region,34318004.0,1.28338,103.84503
297,40.0,102.0,0.0,f,Private room,1.0,0.0,0.0,365.0,Novena,Central Region,45690828.0,1.31801,103.84988
298,132.0,79.0,65.0,f,Private room,1.0,1.0,7.0,0.0,Bukit Merah,Central Region,13254555.0,1.2877,103.82903
299,130.0,151.0,64.0,f,Entire home/apt,0.0,0.0,0.0,26.0,Bedok,East Region,49408255.0,1.30397,103.92244
300,245.0,212.0,41.0,f,Entire home/apt,0.0,1.0,0.0,364.0,Marine Parade,Central Region,48153394.0,1.30082,103.88613
301,69.0,84.0,96.0,f,Private room,1.0,1.0,2.0,328.0,Outram,Central Region,32171204.0,1.28469,103.84346
302,2695.0,1317.0,6.0,f,Entire home/apt,2.0,3.0,0.0,364.0,Rochor,Central Region,29548473.0,1.31206,103.85374
303,144.0,174.0,0.0,f,Entire home/apt,1.0,1.0,0.0,365.0,Downtown Core,Central Region,42678905.0,1.27989,103.85201
